z ra dec
0.0108584 16.8755712 63.3972663
0.0192798 37.5412473 77.4262072
0.0237460 75.2304670 71.8992990
0.0483854 4.0498073 82.8917771
0.0089742 80.2725231 8.6483012
0.0178003 61.1780879 49.3886299
0.0228091 84.5037387 54.3701211
0.0173700 72.7035860 62.6400674
0.0316188 89.1996313 68.8466403
0.0248705 89.7369628 38.1362283
0.0512774 84.0960509 72.3241152
0.0135206 32.1009122 17.0626947
0.0277940 82.3180104 13.9555858
0.0278305 82.1642797 13.8950218
0.0290377 79.1355685 17.0348141
0.0408387 80.0762458 41.6605501
0.0412433 76.3863314 44.5266216
0.0450438 86.4333950 49.1633353
0.0197367 50.4021744 41.4039464
0.0288020 44.6001134 49.6115236
0.0288020 44.9263571 49.5466075
0.0337173 38.1477498 61.7784155
0.0415318 49.1323459 69.4248733
0.0415286 49.0744213 69.4011229
0.0415314 49.0269141 69.3950675
0.0387458 89.5270430 35.1216473
0.0447352 83.6505476 37.8320530
0.0458887 89.7240266 38.1680559
0.0474642 88.2282900 37.9151962
0.0465134 87.2525389 38.0073319
0.0487618 87.0359823 38.4987990
0.0488020 87.0350423 38.5110085
0.0435478 81.9768492 38.7319693
0.0435217 82.0651705 38.7053935
0.0450731 81.8454078 40.2836478
0.0469993 77.3658349 46.4199062
0.0200278 64.8327306 20.7475411
0.0258300 66.6165552 34.6379169
0.0259723 66.4549594 34.4770723
0.0285678 55.2050623 28.2116005
0.0320883 64.2383492 44.0464612
0.0423206 63.3248024 55.4632592
0.0429128 62.8089539 55.4256748
0.0446664 51.9545166 61.1933334
0.0509735 57.4849533 58.9258068
0.0520902 59.8606669 60.8376257
0.0520274 59.7235775 60.7828174
0.0237000 9.1805588 40.8287491
0.0265307 2.6419336 49.1856116
0.0321742 6.3000127 53.0536596
0.0320357 12.0567947 51.3558051
0.0369022 9.8919774 51.7252665
0.0467926 4.6865411 70.2127955
0.0507891 9.6649697 68.5774238
0.0416879 85.6190989 18.7304611
0.0540834 88.7426832 37.3279594
0.0609909 86.8275375 47.5567047
0.0603430 83.8194230 46.2011636
0.0603532 83.8286318 46.1824389
0.0326024 67.5335939 14.0314505
0.0382147 66.6525378 46.1528246
0.0450757 63.6759820 50.4126580
0.0450314 63.7227933 50.5127330
0.0450746 63.5382043 50.4007740
0.0510136 61.5633371 52.4054395
0.0510761 61.6783934 52.3610170
0.0238035 33.4156962 17.9178501
0.0233288 34.7805211 29.8844078
0.0430385 66.3278458 33.7138335
0.0497843 73.7784106 40.2914024
0.0297554 41.3414226 13.3965818
0.0245725 42.3259340 21.4537004
0.0300207 42.6778460 14.5711788
0.0358408 39.1311194 43.2424788
0.0371598 53.1243543 44.7235048
0.0479912 45.8858463 54.8249311
0.0269202 8.5271477 5.2546587
0.0275021 3.8165229 8.6001314
0.0419465 77.5215420 4.9921025
0.0458159 77.3353401 8.3014527
0.0513877 72.6428945 26.2579502
0.0473850 71.1357689 29.3867980
0.0551856 76.4563598 34.3859539
0.0552013 76.4449284 34.3669020
0.0571732 78.8649464 43.2604858
0.0512327 61.7053622 47.6830529
0.0313909 15.5243129 1.7792953
0.0304432 19.4937487 1.0956274
0.0305023 22.9144083 6.6809683
0.0275507 22.5105880 21.2661295
0.0464734 25.2168980 46.1078932
0.0503841 29.9259006 54.0763136
0.0508001 27.6972988 51.0004807
0.0374033 58.7303350 4.0697037
0.0354633 59.1732061 0.2550227
0.0354886 59.0047360 0.1874204
0.0570964 54.9724402 46.6006832
0.0576449 57.5140329 43.6521477
0.0595170 61.3545859 51.6640332
0.0594881 61.4177858 51.6256197
0.0633727 61.5422405 48.8397773
0.0329419 38.3332722 6.1895928
0.0330516 38.1740009 6.1478693
0.0541807 1.9779273 47.4414788
0.0552759 4.9694950 54.5239434
0.0451288 60.0611604 7.8314232
0.0558737 65.7236286 39.1069392
0.0293103 38.2239636 0.3615640
0.0293461 38.0389570 0.3996426
0.0381503 50.6382653 2.0870902
0.0379332 49.1939093 0.4744522
0.0392356 45.6799896 9.1450111
0.0397351 21.2305741 5.6582175
0.0451025 20.6725782 25.6765228
0.0421069 20.5385225 37.9366022
0.0470088 53.0650635 4.1639500
0.0521581 55.4815940 35.0183534
0.0522049 55.4086680 35.0897366
0.0521559 55.4181483 35.1216745
